opp_ID,opp_name,in_adx_ID,in_adx_placement,out_adx_ID
013,Kid Gohan,-1,1st,1
014,Teen Gohan,-1,1st,1
015,Teen Gohan - Super Saiyan,-1,1st,1
016,Teen Gohan - Super Saiyan 2,-1,1st,1
017,Adult Gohan,8,1st,2
018,Adult Gohan - Super Saiyan,8,1st,2
019,Adult Gohan - Super Saiyan 2,8,1st,2
020,Great Saiyaman,8,1st,2
021,Ultimate Gohan,8,1st,2
025,Krillin,4,1st,-1
031,Vegeta,1,2nd,6
032,Vegeta - Super Saiyan,1,2nd,6
033,Super Vegeta,1,2nd,6
034,Vegeta (second form),1,2nd,6
035,Vegeta (second form) - Super Saiyan,1,2nd,6
036,Vegeta (second form) - Super Saiyan 2,1,2nd,6
037,Vegeta (End) - Majin,12,1st,-1
048,Gotenks,9,2nd,0
049,Gotenks - Super Saiyan,9,2nd,0
050,Gotenks - Super Saiyan 3,9,2nd,0
061,Pikkon,10,2nd,6
063,Pan,7,1st,5
064,Uub,11,1st,4
065,Majuub,11,1st,4
068,Grandpa Gohan,-1,1st,3
100,Android #16,2,2nd,-1
107,Cell - Perfect Form,5,2nd,-1
108,Cell - Perfect,5,2nd,-1
117,Kid Buu,14,2nd,7
128,Meta-Cooler,3,2nd,-1
131,Broly,0,2nd,-1
132,Broly - Super Saiyan,0,2nd,-1
135,Bojack,6,1st,-1
136,Bojack - Full Power,6,1st,-1
149,Cyborg Tao,13,1st,-1
157,Chi-Chi,16,2nd,9
159,Future Gohan,15,2nd,8
160,Future Gohan - Super Saiyan,15,2nd,8
