opp_ID,opp_name,in_adx_ID,in_adx_placement,out_adx_ID
013,Kid Gohan,-1,1st,1
014,Teen Gohan,10,1st,1
015,Teen Gohan - Super Saiyan,10,1st,1
016,Teen Gohan - Super Saiyan 2,10,1st,1
025,Krillin,8,1st,-1
031,Vegeta,6,2nd,-1
032,Vegeta - Super Saiyan,6,2nd,-1
033,Super Vegeta,6,2nd,-1
034,Vegeta (second form),6,2nd,-1
035,Vegeta (second form) - Super Saiyan,6,2nd,-1
036,Vegeta (second form) - Super Saiyan 2,6,2nd,-1
068,Grandpa Gohan,12,1st,2
091,Frieza - 1st Form,0,1st,0
092,Frieza - 2nd Form,0,1st,0
093,Frieza - 3rd Form,0,1st,0
094,Frieza - Final Form,0,1st,0
095,Frieza - Full Power,1,2nd,0
096,Mecha Frieza,5,2nd,0
100,Android #16,7,2nd,-1
103,Android #19,13,2nd,-1
107,Cell - Perfect Form,2,2nd,-1
108,Cell - Perfect,2,2nd,-1
121,Turles,9,1st,-1
126,Cooler,3,2nd,-1
127,Cooler - Final Form,3,2nd,-1
129,Android #13,11,2nd,-1
130,Android #13 - Fusion,11,2nd,-1
133,Broly - Legendary Super Saiyan,4,2nd,-1
