opp_ID,opp_name,in_adx_ID,in_adx_placement,out_adx_ID
031,Vegeta,5,1st,-1
032,Vegeta - Super Saiyan,5,1st,-1
033,Super Vegeta,5,1st,-1
034,Vegeta (second form),5,1st,-1
035,Vegeta (second form) - Super Saiyan,5,1st,-1
036,Vegeta (second form) - Super Saiyan 2,5,1st,-1
038,Vegeta (second form) - Super Saiyan 4,2,1st,0
048,Gotenks,7,2nd,3
049,Gotenks - Super Saiyan,7,2nd,3
050,Gotenks - Super Saiyan 3,7,2nd,3
063,Pan,7,2nd,6
064,Uub,3,1st,1
065,Majuub,3,1st,1
140,Baby Vegeta,0,1st,-1
141,Super Baby 1,0,1st,-1
142,Super Baby 2,0,1st,-1
143,Great Ape Baby,6,2nd,2
144,Super 17,1,1st,5
145,Nuova Shenron,8,1st,7
146,Syn Shenron,4,1st,4
147,Omega Shenron,4,1st,4
